Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
157496,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,AL,Mobile,"Spring Hill Lake [just W of Mobile, AL]",30.6417,-88.3833,GNIS,Accurate,Escatawpa,3170008,2003,12,12,established,,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253371,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,AL,Mobile,Langan Park Pond in Mobile,30.705829,-88.158202,Map derived,Accurate,Mobile-Tensaw,3160204,2008,6,11,established,"Copper sulfate applied October 2009, partially successful kill.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278743,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,AZ,Maricopa,"Salt River, lower portion above Granite Reef Dam [near Mesa]",33.51478,-111.68461,reported,Accurate,Lower Salt,15060106,2011,7,,established,42 live specimens collected in 1 hour. Egg masses present.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744958,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"a sinkhole pond, Gainesville",29.65438,-82.36161,Map derived,Accurate,Oklawaha,3080102,2014,9,11,established,Many more were observed but not collected.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468855,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Hogtown Creek, at SW 2nd Ave. bridge E of SW 35th Terrace in Gainesville",29.65073,-82.37529,Map derived,Accurate,Oklawaha,3080102,2018,8,22,established,Egg masses only observed.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241830,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,Newnans Lake [E of Gainesville],29.6433017,-82.219267,GNIS,Accurate,Oklawaha,3080102,2007,11,,established,Many egg masses observed.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935191,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, Mouth of Windsor boat ramp canal",29.63624,-82.20285,reported,Accurate,Oklawaha,3080102,2007,9,9,established,6-7 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935215,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, Windsor boat ramp canal",29.63695,-82.20113,reported,Accurate,Oklawaha,3080102,2008,5,6,established,"2 egg masses, 1 snail laying eggs",Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935257,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, Windsor boat ramp",29.63687,-82.20014,reported,Accurate,Oklawaha,3080102,2009,6,7,established,15 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935385,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Alachua,"Newnans Lake, southwest shore along Lakeshore Dr",29.63635,-82.23708,reported,Accurate,Oklawaha,3080102,2013,6,15,established,Very abundant,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
